Year,JAN,RAIN DAYS,Total Days,FEB,RAIN DAYS,Total Days,MAR,RAIN DAYS,Total Days,APRIL,RAIN DAYS,Total Days,MAY,RAIN DAYS,Total Days,JUN,RAIN DAYS,Total Days,JULY,RAIN DAYS,Total Days,AUG,RAIN DAYS,Total Days,SEP,RAIN DAYS,Total Days,OCT,RAIN DAYS,Total Days,NOV,RAIN DAYS,Total Days,DEC,RAIN DAYS,Total Days
1950,-1.5,2,31,-1.3,1,28,-1.2,2,31,-1.2,2,30,-1.1,6,31,-0.9,9,30,-0.5,13,31,-0.4,9,31,-0.4,17,30,-0.4,12,31,-0.6,7,30,-0.8,7,31
1951,-0.8,8,31,-0.5,5,28,-0.2,7,31,0.2,6,30,0.4,1,31,0.6,2,30,0.7,10,31,0.9,17,31,1,6,30,1.2,12,31,1,8,30,0.8,7,31
1952,0.5,2,31,0.4,0,29,0.3,0,31,0.3,2,30,0.2,5,31,0,3,30,-0.1,11,31,0,12,31,0.2,9,30,0.1,14,31,0,14,30,0.1,9,31
1953,0.4,1,31,0.6,6,28,0.6,2,31,0.7,1,30,0.8,5,31,0.8,2,30,0.7,6,31,0.7,13,31,0.8,10,30,0.8,11,31,0.8,6,30,0.8,8,31
1954,0.8,2,31,0.5,3,28,0,0,31,-0.4,2,30,-0.5,2,31,-0.5,6,30,-0.6,7,31,-0.8,10,31,-0.9,15,30,-0.8,16,31,-0.7,9,30,-0.7,6,31
1955,-0.7,7,31,-0.6,3,28,-0.7,1,31,-0.8,3,30,-0.8,4,31,-0.7,5,30,-0.7,13,31,-0.7,7,31,-1.1,17,30,-1.4,9,31,-1.7,9,30,-1.5,3,31
1956,-1.1,2,31,-0.8,3,29,-0.6,3,31,-0.5,3,30,-0.5,8,31,-0.5,5,30,-0.6,8,31,-0.6,10,31,-0.5,17,30,-0.4,13,31,-0.4,13,30,-0.4,11,31
1957,-0.2,7,31,0.1,3,28,0.4,3,31,0.7,2,30,0.9,1,31,1.1,4,30,1.3,5,31,1.3,10,31,1.3,12,30,1.4,14,31,1.5,9,30,1.7,3,31
1958,1.8,3,31,1.7,2,28,1.3,0,31,0.9,4,30,0.7,5,31,0.6,7,30,0.6,11,31,0.4,12,31,0.4,14,30,0.4,13,31,0.5,10,30,0.6,3,31
1959,0.6,2,31,0.6,0,28,0.5,2,31,0.3,3,30,0.2,0,31,-0.1,1,30,-0.2,6,31,-0.3,11,31,-0.1,14,30,0,10,31,0,7,30,0,4,31
1960,-0.1,4,31,-0.1,0,29,-0.1,2,31,0,2,30,0,9,31,0,8,30,0.1,11,31,0.2,18,31,0.3,12,30,0.2,13,31,0.1,14,30,0.1,6,31
1961,0,8,31,0,4,28,0,4,31,0.1,3,30,0.2,5,31,0.3,8,30,0.1,10,31,-0.1,14,31,-0.3,11,30,-0.3,18,31,-0.2,6,30,-0.2,6,31
1962,-0.2,1,31,-0.2,2,28,-0.2,2,31,-0.3,7,30,-0.3,6,31,-0.2,7,30,0,17,31,-0.1,12,31,-0.1,12,30,-0.2,12,31,-0.3,5,30,-0.4,8,31
1963,-0.4,7,31,-0.2,6,28,0.2,3,31,0.3,7,30,0.3,13,31,0.5,9,30,0.9,11,31,1.1,13,31,1.2,13,30,1.3,9,31,1.4,7,30,1.3,9,31
1964,1.1,3,31,0.6,2,29,0.1,1,31,-0.3,6,30,-0.6,15,31,-0.6,7,30,-0.6,13,31,-0.7,10,31,-0.8,15,30,-0.8,14,31,-0.8,5,30,-0.8,9,31
1965,-0.6,11,31,-0.3,2,28,-0.1,0,31,0.2,0,30,0.5,0,31,0.8,6,30,1.2,18,31,1.5,5,31,1.9,11,30,2,9,31,2,7,30,1.7,4,31
1966,1.4,3,31,1.2,0,28,1,2,31,0.7,0,30,0.4,1,31,0.2,7,30,0.2,8,31,0.1,13,31,-0.1,14,30,-0.1,11,31,-0.2,14,30,-0.3,4,31
1967,-0.4,6,31,-0.5,4,28,-0.5,10,31,-0.4,9,30,-0.2,5,31,0,17,30,0,17,31,-0.2,14,31,-0.3,16,30,-0.4,10,31,-0.3,7,30,-0.4,2,31
1968,-0.6,5,31,-0.7,7,29,-0.6,6,31,-0.4,2,30,0,3,31,0.3,6,30,0.6,13,31,0.5,15,31,0.4,16,30,0.5,13,31,0.7,11,30,1,3,31
1969,1.1,1,31,1.1,1,28,0.9,3,31,0.8,4,30,0.6,6,31,0.4,1,30,0.4,15,31,0.5,12,31,0.8,12,30,0.9,11,31,0.8,13,30,0.6,7,31
1970,0.5,7,31,0.3,3,28,0.3,2,31,0.2,1,30,0,1,31,-0.3,6,30,-0.6,9,31,-0.8,10,31,-0.8,16,30,-0.7,14,31,-0.9,8,30,-1.1,6,31
1971,-1.4,8,31,-1.4,3,28,-1.1,8,31,-0.8,8,30,-0.7,12,31,-0.7,9,30,-0.8,14,31,-0.8,9,31,-0.8,11,30,-0.9,9,31,-1,10,30,-0.9,3,31
1972,-0.7,4,31,-0.4,3,29,0.1,6,31,0.4,0,30,0.7,3,31,0.9,4,30,1.1,14,31,1.4,13,31,1.6,8,30,1.8,7,31,2.1,2,30,2.1,5,31
1973,1.8,2,31,1.2,2,28,0.5,0,31,-0.1,0,30,-0.5,2,31,-0.9,4,30,-1.1,7,31,-1.3,9,31,-1.5,11,30,-1.7,14,31,-1.9,3,30,-2,11,31
1974,-1.8,5,31,-1.6,2,28,-1.2,8,31,-1,8,30,-0.9,8,31,-0.8,10,30,-0.5,14,31,-0.4,13,31,-0.4,5,30,-0.6,12,31,-0.8,10,30,-0.6,5,31
1975,-0.5,10,31,-0.6,0,28,-0.7,2,31,-0.7,2,30,-0.8,2,31,-1,2,30,-1.1,8,31,-1.2,15,31,-1.4,7,30,-1.4,15,31,-1.6,12,30,-1.7,1,31
1976,-1.6,11,31,-1.2,11,29,-0.7,9,31,-0.5,5,30,-0.3,9,31,0,6,30,0.2,12,31,0.4,9,31,0.6,10,30,0.8,8,31,0.9,12,30,0.8,4,31
1977,0.7,3,31,0.6,3,28,0.3,4,31,0.2,0,30,0.2,1,31,0.3,6,30,0.4,5,31,0.4,7,31,0.6,12,30,0.7,14,31,0.8,7,30,0.8,4,31
1978,0.7,1,31,0.4,2,28,0.1,0,31,-0.2,1,30,-0.3,3,31,-0.3,15,30,-0.4,10,31,-0.4,15,31,-0.4,10,30,-0.3,15,31,-0.1,12,30,0,4,31
1979,0,3,31,0.1,1,28,0.2,4,31,0.3,2,30,0.2,2,31,0,3,30,0,8,31,0.2,10,31,0.3,11,30,0.5,17,31,0.5,8,30,0.6,7,31
1980,0.6,1,31,0.5,6,29,0.3,5,31,0.4,3,30,0.5,12,31,0.5,11,30,0.3,12,31,0,14,31,-0.1,17,30,0,13,31,0.1,12,30,0,5,31
