Date,Max,Min,Average,Precipitation
5/1/1947,87,78,82.5,T
5/2/1947,87,77,82,T
5/3/1947,88,75,81.5,0
5/4/1947,87,77,82,T
5/5/1947,87,80,83.5,T
5/6/1947,89,79,84,0.06
5/7/1947,88,76,82,T
5/8/1947,89,79,84,T
5/9/1947,86,75,80.5,3.61
5/10/1947,88,78,83,0.09
5/11/1947,89,78,83.5,T
5/12/1947,86,77,81.5,0.01
5/13/1947,87,76,81.5,0
5/14/1947,86,76,81,0.77
5/15/1947,88,74,81,1.37
5/16/1947,87,75,81,T
5/17/1947,88,79,83.5,0
5/18/1947,87,76,81.5,T
5/19/1947,88,75,81.5,0.25
5/20/1947,86,78,82,0.85
5/21/1947,80,77,78.5,2.54
5/22/1947,88,75,81.5,0.17
5/23/1947,86,78,82,0.12
5/24/1947,87,78,82.5,0.05
5/25/1947,87,78,82.5,0.07
5/26/1947,88,78,83,0.05
5/27/1947,86,76,81,T
5/28/1947,87,78,82.5,0
5/29/1947,87,77,82,0.02
5/30/1947,87,78,82.5,0.13
5/31/1947,88,77,82.5,0
6/1/1947,89,76,82.5,T
6/2/1947,89,78,83.5,0.09
6/3/1947,90,77,83.5,0
6/4/1947,90,77,83.5,T
6/5/1947,90,76,83,T
6/6/1947,92,77,84.5,T
6/7/1947,89,78,83.5,T
6/8/1947,88,77,82.5,0.18
6/9/1947,88,78,83,0.2
6/10/1947,90,77,83.5,T
6/11/1947,90,74,82,0.13
6/12/1947,90,74,82,0.19
6/13/1947,88,78,83,0.14
6/14/1947,89,77,83,0.05
6/15/1947,91,78,84.5,1.05
6/16/1947,89,77,83,T
6/17/1947,88,78,83,T
6/18/1947,88,78,83,T
6/19/1947,88,79,83.5,0.22
6/20/1947,88,77,82.5,T
6/21/1947,88,81,84.5,T
6/22/1947,83,78,80.5,0.17
6/23/1947,87,75,81,0.02
6/24/1947,88,75,81.5,0.26
6/25/1947,85,78,81.5,0.6
6/26/1947,88,77,82.5,0
6/27/1947,87,77,82,0
6/28/1947,88,72,80,T
6/29/1947,88,71,79.5,0
6/30/1947,90,78,84,0
7/1/1947,87,78,82.5,0.53
7/2/1947,86,74,80,2.2
7/3/1947,87,74,80.5,0.92
7/4/1947,85,73,79,0.29
7/5/1947,89,74,81.5,0.3
7/6/1947,87,78,82.5,T
7/7/1947,88,76,82,0
7/8/1947,89,78,83.5,0
7/9/1947,88,77,82.5,T
7/10/1947,88,73,80.5,0.47
7/11/1947,89,74,81.5,T
7/12/1947,86,78,82,0.36
7/13/1947,88,76,82,0.21
7/14/1947,89,77,83,0
7/15/1947,89,79,84,0
7/16/1947,88,79,83.5,T
7/17/1947,88,78,83,0.49
7/18/1947,88,76,82,0.19
7/19/1947,88,78,83,T
7/20/1947,88,76,82,0.51
7/21/1947,87,76,81.5,0.47
7/22/1947,87,76,81.5,0.4
7/23/1947,82,74,78,0.1
7/24/1947,85,74,79.5,0.04
7/25/1947,87,76,81.5,0.04
7/26/1947,89,78,83.5,0.05
7/27/1947,88,74,81,0.32
7/28/1947,90,74,82,0.07
7/29/1947,84,76,80,0.08
7/30/1947,86,73,79.5,0.28
7/31/1947,82,75,78.5,0.15
8/1/1947,89,76,82.5,T
8/2/1947,84,77,80.5,0.66
8/3/1947,85,74,79.5,0.66
8/4/1947,86,74,80,0.66
8/5/1947,88,78,83,0.18
8/6/1947,85,75,80,0.25
8/7/1947,87,77,82,0.24
8/8/1947,85,79,82,0.03
8/9/1947,88,77,82.5,0.73
8/10/1947,86,76,81,0.35
8/11/1947,86,75,80.5,0.13
8/12/1947,86,71,78.5,0.43
8/13/1947,88,77,82.5,0.29
8/14/1947,88,79,83.5,0.15
8/15/1947,86,74,80,0.53
8/16/1947,86,77,81.5,T
8/17/1947,88,78,83,0.03
8/18/1947,90,78,84,0.02
8/19/1947,87,78,82.5,0.12
8/20/1947,90,78,84,0.48
8/21/1947,87,76,81.5,0.56
8/22/1947,85,76,80.5,0.5
8/23/1947,87,77,82,0.06
8/24/1947,85,76,80.5,0.38
8/25/1947,87,77,82,0.28
8/26/1947,86,77,81.5,0.2
8/27/1947,88,76,82,0.74
8/28/1947,87,77,82,0.86
8/29/1947,86,77,81.5,0.27
8/30/1947,88,79,83.5,T
8/31/1947,89,78,83.5,0.02
9/1/1947,84,78,81,0.09
9/2/1947,87,76,81.5,0.26
9/3/1947,87,77,82,T
9/4/1947,89,77,83,0.03
9/5/1947,88,78,83,0.02
9/6/1947,85,75,80,0.49
9/7/1947,88,77,82.5,T
9/8/1947,88,79,83.5,T
9/9/1947,82,74,78,1.35
9/10/1947,86,75,80.5,0.42
9/11/1947,82,75,78.5,1.45
9/12/1947,88,77,82.5,T
9/13/1947,87,77,82,T
9/14/1947,90,78,84,0
9/15/1947,90,78,84,0.02
9/16/1947,87,80,83.5,0
9/17/1947,86,78,82,0
9/18/1947,89,76,82.5,0.33
9/19/1947,82,75,78.5,1.26
9/20/1947,87,79,83,0.35
